beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type
"Sanctification (Batch 112812)","Russian River Brewing Company","American Wild Ale",6.75,0,,,,,,,,4,"2013-11-03 15:34:15",https://untappd.com/c/52404236,https://untappd.com/beer/339716,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
Hottenroth,"Bruery Terreux®","Sour - Berliner Weisse",3.1,2,,,,,,,,4,"2013-11-03 15:36:38",https://untappd.com/c/52404741,https://untappd.com/beer/8962,https://untappd.com/brewery/214845,"United States",Anaheim,CA,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,,,,,,,4.5,"2013-11-03 18:45:07",https://untappd.com/c/52440637,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"Blind Pig IPA","Russian River Brewing Company","IPA - American",6.1,70,"Hoppy. Not crazy hoppy. Delightfully subtle for an IPA",,,,,,,4.5,"2013-11-04 18:57:34",https://untappd.com/c/52523253,https://untappd.com/beer/4041,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,,,,,,,4.5,"2013-11-06 18:47:54",https://untappd.com/c/52707217,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"Ten FIDY","Oskar Blues Brewery","Stout - American Imperial / Double",10.5,65,"Delightfully boozy. Someone is going to scrape me off the floor later I hope",,,,,,,4.5,"2013-11-08 18:32:05",https://untappd.com/c/52997198,https://untappd.com/beer/4744,https://untappd.com/brewery/956,"United States",Longmont,CO,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,,,,,,,4.5,"2013-11-08 22:27:39",https://untappd.com/c/53061516,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
Maximus,"Lagunitas Brewing Company","IPA - Imperial / Double",8.2,72,,O'Malleys,"Santa Barbara",CA,"United States",34.4174,-119.696,3.5,"2013-11-09 20:06:44",https://untappd.com/c/53299776,https://untappd.com/beer/5771,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"Dog Ate My Homework","Brouwerij West","Saison / Farmhouse Ale",7,0,,,,,,,,4,"2013-11-10 19:26:52",https://untappd.com/c/53479344,https://untappd.com/beer/257008,https://untappd.com/brewery/2193,"United States","San Pedro",CA,,,
"Chai Dog","Pipeworks Brewing Company","Stout - Milk / Sweet",10,0,,,,,,,,4.5,"2013-11-11 20:01:56",https://untappd.com/c/53579253,https://untappd.com/beer/431716,https://untappd.com/brewery/4012,"United States",Chicago,IL,,,
"Pliny the Elder","Russian River Brewing Company","IPA - Imperial / Double",8,100,,"The Surly Goat","West Hollywood",CA,"United States",34.0909,-118.363,5,"2013-11-15 19:24:39",https://untappd.com/c/54052196,https://untappd.com/beer/4499,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
"Pliny the Elder","Russian River Brewing Company","IPA - Imperial / Double",8,100,,,,,,,,5,"2013-11-16 16:14:53",https://untappd.com/c/54235054,https://untappd.com/beer/4499,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,,,,,,,4.5,"2013-11-20 21:46:08",https://untappd.com/c/54787829,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"La Folie (Lips of Faith)","New Belgium Brewing Company","Sour - Flanders Oud Bruin",7,18,,,,,,,,4.5,"2013-11-21 22:39:22",https://untappd.com/c/54911302,https://untappd.com/beer/439,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,
"Stone Enjoy By 12.13.13 IPA","Stone Brewing","IPA - Imperial / Double",9.4,88,,,,,,,,4.5,"2013-11-22 19:20:44",https://untappd.com/c/55050366,https://untappd.com/beer/492595,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,"Eureka! Gourmet Burgers & Craft Beer","Santa Barbara",CA,"United States",34.4186,-119.7,4.5,"2013-11-22 20:59:58",https://untappd.com/c/55077252,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
"Brown Shugga'","Lagunitas Brewing Company","Strong Ale - American",10,51,,,,,,,,4.5,"2013-11-24 19:56:07",https://untappd.com/c/55474161,https://untappd.com/beer/4740,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,
Redemption,"Russian River Brewing Company","Blonde Ale - Belgian Blonde / Golden",5.5,0,,,,,,,,4,"2013-11-25 18:58:25",https://untappd.com/c/55552662,https://untappd.com/beer/6434,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
Witte,"Brewery Ommegang",Witbier,5.2,11,"Definitely a subtle beer. Delightful.",,,,,,,3.5,"2013-11-27 21:11:50",https://untappd.com/c/55840687,https://untappd.com/beer/6119,https://untappd.com/brewery/249,"United States",Cooperstown,NY,,,
"Jubelale (2013)","Deschutes Brewery","Winter Ale",6.7,0,,,,,,,,4,"2013-11-29 20:49:26",https://untappd.com/c/56278057,https://untappd.com/beer/392021,https://untappd.com/brewery/441,"United States",Bend,OR,,,
"It Takes A Lot Of Great Beer To Make Great Wine","Russian River Brewing Company","Pale Ale - American",4.75,0,,,,,,,,3.5,"2013-11-30 20:07:08",https://untappd.com/c/56504692,https://untappd.com/beer/74553,https://untappd.com/brewery/5143,"United States","Santa Rosa",CA,,,
Windowsill,"The Bruery","Sour - Ale",10.5,0,,,,,,,,3.5,"2013-11-30 22:36:33",https://untappd.com/c/56531169,https://untappd.com/beer/429545,https://untappd.com/brewery/1246,"United States",Placentia,CA,,,
"Cherry Stout","Bell's Brewery","Stout - Other",7,0,,,,,,,,4,"2013-11-30 22:37:34",https://untappd.com/c/56531270,https://untappd.com/beer/4138,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,
"Batata Obscura","Pipeworks Brewing Company","Porter - Imperial / Double",9.5,0,,,,,,,,4,"2013-12-05 19:16:47",https://untappd.com/c/57043217,https://untappd.com/beer/473434,https://untappd.com/brewery/4012,"United States",Chicago,IL,,,
"Suede Imperial Porter","Stone Brewing","Porter - Imperial / Double",9.6,50,,,,,,,,3.5,"2013-12-06 22:31:27",https://untappd.com/c/57253794,https://untappd.com/beer/444114,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
Accumulation,"New Belgium Brewing Company","IPA - White",6.2,55,,,,,,,,3.5,"2013-12-07 21:46:44",https://untappd.com/c/57495053,https://untappd.com/beer/280679,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,
Accumulation,"New Belgium Brewing Company","IPA - White",6.2,55,,,,,,,,3.5,"2013-12-14 19:10:37",https://untappd.com/c/58430687,https://untappd.com/beer/280679,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,
"Close Encounter","Pipeworks Brewing Company","IPA - Black / Cascadian Dark Ale",6,0,,,,,,,,4,"2013-12-15 19:59:30",https://untappd.com/c/58620386,https://untappd.com/beer/152211,https://untappd.com/brewery/4012,"United States",Chicago,IL,,,
"Loud Mouth Soup","Hollister Brewing Company","Scottish Ale",8.5,0,,"Hollister Brewing Company",Goleta,CA,"United States",34.4295,-119.871,3.5,"2013-12-16 16:28:48",https://untappd.com/c/58671070,https://untappd.com/beer/93843,https://untappd.com/brewery/2275,"United States",Goleta,CA,,,
"Beer With Hops ( 100% Ahtanum Hops)","Hollister Brewing Company","Pale Ale - American",5.6,0,,"Hollister Brewing Company",Goleta,CA,"United States",34.4295,-119.871,3.5,"2013-12-16 17:01:34",https://untappd.com/c/58677083,https://untappd.com/beer/462350,https://untappd.com/brewery/2275,"United States",Goleta,CA,,,
"Delirium Noël / Christmas","Brouwerij Huyghe","Winter Ale",10,20,,,,,,,,3.5,"2013-12-16 19:15:15",https://untappd.com/c/58702060,https://untappd.com/beer/8767,https://untappd.com/brewery/285,Belgium,Melle,Oost-Vlaanderen,,,
"Duchesse de Bourgogne","Brouwerij Verhaeghe","Sour - Flanders Red Ale",6,11,,"Mercury Lounge",Goleta,CA,"United States",34.4357,-119.828,4.5,"2013-12-16 19:16:54",https://untappd.com/c/58702368,https://untappd.com/beer/3954,https://untappd.com/brewery/305,Belgium,Vichte,West-Vlaanderen,,,
Sleigh'r,"Ninkasi Brewing Company","Winter Ale",7.2,60,,"Eureka! Gourmet Burgers & Craft Beer","Santa Barbara",CA,"United States",34.4186,-119.7,3.5,"2013-12-17 18:35:03",https://untappd.com/c/58793872,https://untappd.com/beer/11779,https://untappd.com/brewery/2840,"United States",Eugene,OR,,,
"Union Jack IPA","Firestone Walker Brewing Company","IPA - American",7,70,,,,,,,,3.5,"2013-12-18 19:44:51",https://untappd.com/c/58918451,https://untappd.com/beer/5428,https://untappd.com/brewery/524,"United States","Paso Robles",CA,,,
"Guinness Original Extra Stout (Canada / USA)",Guinness,"Stout - Irish Dry",5,0,,,,,,,,4,"2013-12-19 20:21:45",https://untappd.com/c/59027723,https://untappd.com/beer/11093,https://untappd.com/brewery/49,Ireland,"St. James's Gate",Dublin,,,
"Golden Monkey","Victory Brewing Company","Belgian Tripel",9.5,25,,,,,,,,4,"2013-12-20 22:23:24",https://untappd.com/c/59234523,https://untappd.com/beer/3787,https://untappd.com/brewery/1326,"United States",Downingtown,PA,,,
"Comb The Desert","Begyle Brewing",Schwarzbier,6,0,"Good on so many levels. A Spaceballs-themed Schwarzbier. Very tasty.",,,,,,,4,"2013-12-21 18:52:29",https://untappd.com/c/59394470,https://untappd.com/beer/365971,https://untappd.com/brewery/34911,"United States",Chicago,IL,,,
"Breakfast Stout","Founders Brewing Co.","Stout - Oatmeal",8.3,60,"So good.",,,,,,,4.5,"2013-12-21 21:25:49",https://untappd.com/c/59452593,https://untappd.com/beer/4589,https://untappd.com/brewery/549,"United States","Grand Rapids",MI,,,
"Christmas Ale (2013)","Great Lakes Brewing Company","Winter Ale",7.5,30,,,,,,,,4.5,"2013-12-24 16:41:08",https://untappd.com/c/59921982,https://untappd.com/beer/405529,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,
"Merry Christmas & Happy New Year (Our Special Ale) (2013)","Anchor Brewing Company","Winter Ale",5.5,0,,,,,,,,4.5,"2013-12-24 20:38:10",https://untappd.com/c/59995720,https://untappd.com/beer/471702,https://untappd.com/brewery/3891,"United States","San Francisco",CA,,,
"Christmas Ale (2013)","Great Lakes Brewing Company","Winter Ale",7.5,30,,,,,,,,4,"2013-12-26 19:02:59",https://untappd.com/c/60370479,https://untappd.com/beer/405529,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,
"Milk Stout Nitro","Left Hand Brewing Company","Stout - Milk / Sweet",6,25,,"Fire + Wine","Glen Ellyn",IL,"United States",41.8754,-88.0665,3.5,"2013-12-27 19:04:17",https://untappd.com/c/60568281,https://untappd.com/beer/82680,https://untappd.com/brewery/779,"United States",Longmont,CO,,,
"All Purpose IPA","Goose Island Brewhouse","IPA - American",4.5,0,"On cask. Warm, very hoppy and bitter grapefruit.","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,3.5,"2013-12-29 14:30:48",https://untappd.com/c/60989391,https://untappd.com/beer/384214,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
"London Fog (Rye Barrel Aged)","Goose Island Brewhouse","Stout - Milk / Sweet",6.3,0,,"Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,4.5,"2013-12-29 14:34:37",https://untappd.com/c/60990257,https://untappd.com/beer/327543,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
Autobahn,"Goose Island Brewhouse","Pilsner - German",5.1,0,"Great pilsner","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,4.5,"2013-12-29 15:29:12",https://untappd.com/c/61003443,https://untappd.com/beer/474233,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
"Berliner Weisse","Goose Island Brewhouse","Sour - Berliner Weisse",3,0,"Wow. Warhead. Very good.","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,3.5,"2013-12-29 15:34:43",https://untappd.com/c/61005004,https://untappd.com/beer/363192,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
Hoss,"Goose Island Brewhouse",Hefeweizen,6.3,0,"Hopvenweizen. Aggressively hopped hefe. Brewer said similar to Schneider. Very very interesting.","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,4,"2013-12-29 15:37:03",https://untappd.com/c/61005788,https://untappd.com/beer/485825,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
"Belle Blonde","Goose Island Brewhouse","Blonde Ale - Belgian Blonde / Golden",7.3,0,"Wow. So good. Bananas in pajamas.","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,4.5,"2013-12-29 15:41:25",https://untappd.com/c/61007026,https://untappd.com/beer/467680,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
"Santa's Session","Goose Island Brewhouse","Winter Ale",7.2,0,"EVERYTHING WOW. So Christmas. Much beer.","Goose Island Brewhouse",Chicago,IL,"United States",41.9133,-87.6544,5,"2013-12-29 15:44:54",https://untappd.com/c/61007742,https://untappd.com/beer/515970,https://untappd.com/brewery/26537,"United States",Chicago,IL,,,
